"rid","q2_type","q2_type_id","q5_satisfaction","q6_problems","q6_problems_id","q7_privacy","q7_human_support","q7_accessibility","q7_connection","q7_governance","q7_cost","q7_adaptability","q7_reliability","q9_familiarity","q9_familiarity_id","q10_importance","q10_importance_id","q11_trust","q11_trust_id","q12_adoption","q12_adoption_id","q13_model_matters","q13_model_matters_id","q15_trustworthy","q16_interest","q16_interest_id","q18_coop_fit","q18_coop_fit_id","q19_coop_relationship","q19_coop_relationship_id","q20_coop_trust","q22_nonprofit_burdens","q23_nonprofit_attractive","q23_nonprofit_attractive_id","q24_nonprofit_conditions","q26_community_difficulties","q27_community_role","q27_community_role_id","q29_union_needs","q30_union_appeal","q30_union_appeal_id","q31_union_governance","q33_muni_requirements","q34_muni_perception","q34_muni_perception_id","q36_activist_risks","q37_activist_trust","q37_activist_trust_id","q38_activist_conditions","q40_relationship","q40_relationship_id","q41_involvement","q41_involvement_id","q42_trust_conditions","q42_trust_conditions_id","q43_first_year","q43_first_year_id","q45_optional","q45_optional_id","q46_comments","q47_followup","q47_followup_id","q48_updates","q48_updates_id","q50_barriers","q50_barriers_id","q51_support","q51_support_id","q52_price_sensitivity","q52_price_sensitivity_id","q54_contribution_type","q54_contribution_type_id","q55_individual_amount","q55_individual_amount_id","q56_worthwhile","q58_org_pricing_model","q58_org_pricing_model_id","q59_org_willingness","q59_org_willingness_id","q60_org_cost","q60_org_cost_id","q61_org_cost_justified","q63_consent","q9_familiarity_id_ord","q10_importance_id_ord","q11_trust_id_ord","q12_adoption_id_ord"
"R033","Other / not specified","other_organisation","5.0","Too much dependence on large corporate platforms; Too many separate tools to manage","corporate_dependence, too_many_tools","5.0","5.0","5.0","5.0","3.0","3.0","4.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","No difference","no_difference","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values; More accountability to real communities; Lower risk of profit-driven decisions","values_alignment, accountability, less_profit_pressure","","","","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","Occasional input on priorities","occasional_input","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, strong_privacy, reliable_support, clear_accountability, community_power, sustainability_plan","Pay for use; Participate in governance or voting; Refer others","pay_for_use, governance, refer_others","Yes","yes","","Yes","yes","Yes","yes","Time required to learn or onboard; Technical setup or maintenance demands; Difficulty moving from existing tools","time_to_learn, technical_setup, migration_difficulty","Easy onboarding or setup help; Funding, subsidies, or sponsorship; Help migrating from current tools","onboarding_help, funding_subsidies, migration_help","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","","","","","","Low fixed monthly or annual fee","low_fixed_fee","Not sure","not_sure","Under $25 per month or under $300 per year","under_25_month","","accepted","3.0","2.0","2.0","3.0"
"R034","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R035","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R036","Other / not specified","other_organisation","2.0","Too expensive; Too much dependence on large corporate platforms; Weak support when something goes wrong","too_expensive, corporate_dependence, weak_support","2.0","5.0","5.0","","","3.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","No difference","no_difference","Somewhat more likely","somewhat_more_likely","More accountability to real communities; Lower risk of profit-driven decisions; Tools are tools. Productivity, results, stability and ease of use trumps all factors.","accountability, less_profit_pressure, other, other","","","","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","Consultation as a user","consulted_as_user","Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong","transparent_finances, strong_privacy, reliable_support, clear_accountability","Give regular feedback; Join a pilot","give_feedback, join_pilot","Yes","yes","Tools are necessary and a company, enterprise, whatever you want to call it, depends on tools, and many of them. At the end of the day, getting the work done as efficiently and affordably as possible is what matters to small business.","Yes","yes","Yes","yes","Cost or affordability; Technical setup or maintenance demands; Difficulty moving from existing tools; Lack of integrations with other tools; Uncertainty about long-term sustainability; We are pragmatic folks at Forever Gaming. Whatever gives the the best results most quickly and most affordably and reliably takes precedence over all other matters","cost_affordability, technical_setup, migration_difficulty, integration_gaps, sustainability_uncertainty, other, other","Easy onboarding or setup help; Affordable hosting or infrastructure support; Funding, subsidies, or sponsorship; Help migrating from current tools","onboarding_help, hosting_support, funding_subsidies, migration_help","Very sensitive — it would need to be free or very low cost","very_sensitive","","","","","","Sliding scale based on size or budget","sliding_scale","Maybe","maybe","Under $25 per month or under $300 per year","under_25_month","Practical results that impact or improve the day to day running of operations. Tangible results are what matter the most. A small company has very little profit margin to burn on things that aren't productive and essential","accepted","3.0","2.0","2.0","3.0"
"R037","I am answering as a member of the general public","general_public","2.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Not well suited to our community or work","poor_privacy, corporate_dependence, not_suited","5.0","2.0","5.0","5.0","4.0","3.0","4.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better privacy and data stewardship; Stronger long-term community benefit","privacy, long_term_benefit"," ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Clear governance structure; Transparent finances; Strong privacy and data protection; Real examples or pilot partners; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, transparent_finances, strong_privacy, real_examples, community_power, sustainability_plan","Join a pilot","join_pilot","Yes","yes"," ","Yes","yes","Yes","yes","Time required to learn or onboard; Difficulty moving from existing tools; Uncertainty about long-term sustainability; Cost or affordability","time_to_learn, migration_difficulty, sustainability_uncertainty, cost_affordability","Evidence from pilots or real examples; Clear documentation and self-serve guides; Training or mentorship; Easy onboarding or setup help; Help migrating from current tools","evidence_pilots, documentation, training, onboarding_help, migration_help","Not sure","not_sure","Not sure","not_sure","","","Comparable/ Fair return in value 
Hard to estimate without understanding scope of what platform would provide.


","","","","","","","","","3.0","3.0","3.0","3.0"
"R038","Non-profit","non_profit","3.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Too many separate tools to manage","poor_privacy, corporate_dependence, too_many_tools","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","","","","","","","","","","Much more attractive","much_more_attractive","","","","","","","","","","","","","","","","Member organization","member_organization","Consultation as a user","consulted_as_user","Clear governance structure; Transparent finances; Strong privacy and data protection; Real examples or pilot partners; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Reliable support and maintenance; Long-term sustainability plan","clear_governance, transparent_finances, strong_privacy, real_examples, clear_accountability, community_power, reliable_support, sustainability_plan","Join a pilot","join_pilot","No","no","","","","No","no","","","","","","","","","","","","","","","","","","","","1.0","4.0","4.0","4.0"
"R039","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R040","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R041","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R042","I am answering as a member of the general public","general_public","5.0","Weak support when something goes wrong","weak_support","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Very familiar","very_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made","decision_trust","More help","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure","clear_governance","Join a pilot","join_pilot","Yes","yes","No","Yes","yes","Yes","yes","Cost or affordability; Difficulty moving from existing tools; Uncertainty about long-term sustainability","cost_affordability, migration_difficulty, sustainability_uncertainty","Training or mentorship","training","Very sensitive — it would need to be free or very low cost","very_sensitive","I would only use it if it were free","free_only","I would only use it if it stayed free","free_only","Nothing","","","","","","","","","5.0","3.0","4.0","4.0"
"R043","I am answering as a member of the general public","general_public","2.0","Too much dependence on large corporate platforms","corporate_dependence","5.0","5.0","3.0","4.0","4.0","3.0","4.0","4.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values","values_alignment","Been non dependent on big tech ","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Occasional input on priorities","occasional_input","Clear governance structure","clear_governance","Wait and see; Contribute time or expertise","wait_and_see, contribute_time","No","no","","No","no","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","3.0","3.0","3.0","3.0"
"R044","Other / not specified","other_organisation","4.0","Too expensive","too_expensive","4.0","4.0","5.0","4.0","3.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values; More trust in how decisions are made; More accountability to real communities; Lower risk of profit-driven decisions; Stronger long-term community benefit","values_alignment, decision_trust, accountability, less_profit_pressure, long_term_benefit","","","","","","","","","","","","","","","","","Much more appealing","much_more_appealing","","","","","","","","","Not sure yet","not_sure_yet","Consultation as a user","consulted_as_user","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance","clear_governance, strong_privacy, reliable_support","Refer others; Wait and see","refer_others, wait_and_see","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","3.0","3.0","3.0"
"R045","I am answering as a member of the general public","general_public","4.0","Poor privacy or data protection; Too much dependence on large corporate platforms","poor_privacy, corporate_dependence","3.0","3.0","5.0","5.0","3.0","5.0","4.0","5.0","Somewhat familiar","somewhat_familiar","Not sure","not_sure","No difference","no_difference","No difference","no_difference","More accountability to real communities; Stronger long-term community benefit","accountability, long_term_benefit","","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","Prefer to use it without governance involvement","prefer_to_use_only","Evidence that communities have real decision-making power; Long-term sustainability plan; Uptake from other community members or reasonably sized user base","community_power, sustainability_plan, other, other","Join a pilot; Contribute time or expertise; Wait and see","join_pilot, contribute_time, wait_and_see","Yes","yes","","Yes","yes","Yes","yes","Lack of integrations with other tools; Cost or affordability; Uncertainty about long-term sustainability; We are satisfied with current options","integration_gaps, cost_affordability, sustainability_uncertainty, satisfied_current","Easy onboarding or setup help; Clear documentation and self-serve guides; Affordable hosting or infrastructure support","onboarding_help, documentation, hosting_support","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","Not sure","not_sure","Not sure","not_sure","Clear understanding of what tools are available, how they fit into my current lifestyle / workflows, and clear indication of community size (direct indicator of value of community platform, at least in my eyes)","","","","","","","","accepted","3.0","2.0","2.0","2.0"
"R046","Co-op","co_op","2.0","Too expensive; Too much dependence on large corporate platforms; Too many separate tools to manage","too_expensive, corporate_dependence, too_many_tools","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Lower risk of profit-driven decisions; More influence over future development; More accountability to real communities; Better alignment with co-operative or community values; Better privacy and data stewardship; Stronger long-term community benefit","less_profit_pressure, influence, accountability, values_alignment, privacy, long_term_benefit","","","","Somewhat well","somewhat_well","Not sure yet","not_sure_yet","Control, security and access to member-specific digital creations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","3.0","3.0"
"R047","Co-op","co_op","4.0","Hard to govern or manage collectively","hard_to_govern","5.0","5.0","4.0","5.0","3.0","4.0","4.0","4.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values","values_alignment","","","","Very well","very_well","Member organization","member_organization","Relevance for the community gaps and solutions ","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","Consultation as a user","consulted_as_user","Reliable support and maintenance; Clear accountability if something goes wrong; Long-term sustainability plan","reliable_support, clear_accountability, sustainability_plan","Join a pilot; Contribute time or expertise","join_pilot, contribute_time","No","no","No","Yes","yes","No","no","","","","","","","","","","","","","","","","","","","accepted","3.0","3.0","3.0","3.0"
"R048","I am answering as a member of the general public","general_public","4.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Too expensive","poor_privacy, corporate_dependence, too_expensive","5.0","3.0","5.0","5.0","5.0","3.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better privacy and data stewardship; More accountability to real communities; Lower risk of profit-driven decisions; Better alignment with co-operative or community values","privacy, accountability, less_profit_pressure, values_alignment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","4.0","4.0","4.0"
"R049","Co-op","co_op","3.0","Too much dependence on large corporate platforms; Too many separate tools to manage; Not well suited to our community or work","corporate_dependence, too_many_tools, not_suited","4.0","3.0","5.0","5.0","4.0","4.0","5.0","4.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values; More accountability to real communities","values_alignment, accountability","","","","Very well","very_well","Not sure yet","not_sure_yet","It depends on the purpose and use.","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Evidence that communities have real decision-making power; Long-term sustainability plan; Reliable support and maintenance","community_power, sustainability_plan, reliable_support","Give regular feedback; Contribute time or expertise","give_feedback, contribute_time","No","no","","Yes","yes","No","no","","","","","","","","","","","","","","","","","","","accepted","3.0","3.0","4.0","4.0"
"R050","I am answering as a member of the general public","general_public","3.0","Poor privacy or data protection; Weak support when something goes wrong; Hard to govern or manage collectively","poor_privacy, weak_support, hard_to_govern","5.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","Heard of it, but not clearly","heard_of_it","Not sure","not_sure","Not sure","not_sure","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; More accountability to real communities; Better privacy and data stewardship","decision_trust, accountability, privacy","I’m not sure","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Occasional input on priorities","occasional_input","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance","clear_governance, strong_privacy, reliable_support","Join a pilot; Give regular feedback; Refer others","join_pilot, give_feedback, refer_others","Yes","yes","No","No","no","No","no","Cost or affordability; Time required to learn or onboard; Technical setup or maintenance demands","cost_affordability, time_to_learn, technical_setup","Easy onboarding or setup help; Clear documentation and self-serve guides; Funding, subsidies, or sponsorship","onboarding_help, documentation, funding_subsidies","Very sensitive — it would need to be free or very low cost","very_sensitive","One-time donation","one_time_donation","I would rather give an occasional donation than a recurring amount","occasional_donation_only","Unsure","","","","","","","","","2.0","2.0","2.0","3.0"
"R051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R052","I am answering as a member of the general public","general_public","3.0","Hard to use","hard_to_use","1.0","","","","","","","","Heard of it, but not clearly","heard_of_it","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made","decision_trust","Not sure","Probably not","probably_not","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","A meaningful voice in governance and direction","meaningful_voice","Strong privacy and data protection","strong_privacy","Join a pilot","join_pilot","No","no","No","No","no","No","no","","","","","","","","","","","","","","","","","","","","2.0","3.0","3.0","3.0"
"R053","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R054","I am answering as a member of the general public","general_public","4.0","Too much dependence on large corporate platforms","corporate_dependence","5.0","4.0","5.0","5.0","3.0","5.0","4.0","4.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Somewhat more likely","somewhat_more_likely","Better privacy and data stewardship; More accountability to real communities; More influence over future development; More trust in how decisions are made","privacy, accountability, influence, decision_trust","Some way to provide input on issues that may arise on the platform - feedback forms or something of that nature","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Strong privacy and data protection; Reliable support and maintenance","strong_privacy, reliable_support","Wait and see","wait_and_see","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","4.0","4.0","3.0"
"R055","I am answering as a member of the general public","general_public","4.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Weak support when something goes wrong","poor_privacy, corporate_dependence, weak_support","5.0","4.0","5.0","5.0","4.0","3.0","3.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values; More accountability to real communities; Lower risk of profit-driven decisions","values_alignment, accountability, less_profit_pressure","A face behind the platform. Local owner/ operator ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Consultation as a user","consulted_as_user","Clear governance structure; Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, transparent_finances, strong_privacy, reliable_support, real_examples, clear_accountability, community_power, sustainability_plan","Join a pilot; Give regular feedback; Refer others; Contribute time or expertise","join_pilot, give_feedback, refer_others, contribute_time","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","2.0","3.0","3.0"
"R056","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R057","I am answering as a member of the general public","general_public","4.0","Weak support when something goes wrong","weak_support","4.0","3.0","4.0","4.0","4.0","2.0","3.0","3.0","Not familiar","not_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More accountability to real communities","accountability","Because they are close to the community and can walk in anytime","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","Occasional input on priorities","occasional_input","Transparent finances; Strong privacy and data protection","transparent_finances, strong_privacy","Give regular feedback; Refer others","give_feedback, refer_others","Yes","yes","It should be open to hear people’s concerns ","Yes","yes","Yes","yes","Cost or affordability","cost_affordability","Training or mentorship","training","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","Occasional voluntary contribution","occasional_contribution","$5 to $10 per month or about $50 to $120 per year","5_to_10_month","","","","","","","","","accepted","1.0","3.0","3.0","3.0"
"R058","I am answering as a member of the general public","general_public","4.0","Too much dependence on large corporate platforms","corporate_dependence","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values","values_alignment","Accountability ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Contributor to design and priorities","design_contributor","A meaningful voice in governance and direction","meaningful_voice","Strong privacy and data protection","strong_privacy","Join a pilot","join_pilot","No","no","No","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","1.0","4.0","4.0","4.0"
"R059","I am answering as a member of the general public","general_public","5.0","Too expensive","too_expensive","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development","decision_trust, values_alignment, accountability, privacy, influence","","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Long-term sustainability plan; Clear governance structure","sustainability_plan, clear_governance","None of these yet","none_yet","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","2.0","3.0","3.0"
"R060","I am answering as a member of the general public","general_public","3.0","Too expensive","too_expensive","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; More accountability to real communities; Lower risk of profit-driven decisions","decision_trust, accountability, less_profit_pressure","","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","2.0","3.0","3.0"
"R061","I am answering as a member of the general public","general_public","4.0","Too much dependence on large corporate platforms; Too many separate tools to manage","corporate_dependence, too_many_tools","5.0","4.0","5.0","5.0","4.0","5.0","5.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R062","I am answering as a member of the general public","general_public","3.0","Too expensive","too_expensive","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Heard of it, but not clearly","heard_of_it","Extremely important","extremely_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More accountability to real communities","accountability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","4.0","3.0","3.0"
"R063","I am answering as a member of the general public","general_public","4.0","Poor accessibility","poor_accessibility","3.0","4.0","5.0","4.0","4.0","3.0","5.0","3.0","Very familiar","very_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made","decision_trust","","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","Prefer to use it without governance involvement","prefer_to_use_only","Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong","transparent_finances, strong_privacy, reliable_support, clear_accountability","Join a pilot; Refer others; Give regular feedback","join_pilot, refer_others, give_feedback","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","5.0","3.0","3.0","3.0"
"R064","I am answering as a member of the general public","general_public","4.0","Too many separate tools to manage","too_many_tools","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship","decision_trust, values_alignment, accountability, privacy","Ability to filter out frauds, scams, and inappropriate contents","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure; Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan; Real examples or pilot partners","clear_governance, transparent_finances, strong_privacy, reliable_support, clear_accountability, community_power, sustainability_plan, real_examples","Wait and see; Join a pilot; Refer others; Give regular feedback","wait_and_see, join_pilot, refer_others, give_feedback","Yes","yes","None yet","No","no","No","no","Cost or affordability; Technical setup or maintenance demands; Time required to learn or onboard; Privacy, security, or data control concerns; Uncertainty about governance or decision-making; Uncertainty about long-term sustainability","cost_affordability, technical_setup, time_to_learn, privacy_security, governance_uncertainty, sustainability_uncertainty","Training or mentorship; Easy onboarding or setup help; Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Funding, subsidies, or sponsorship; Peer learning with other organizations or community members; A clear governance and accountability model; Evidence from pilots or real examples","training, onboarding_help, documentation, hosting_support, funding_subsidies, peer_learning, governance_model, evidence_pilots","Very sensitive — it would need to be free or very low cost","very_sensitive","I would only use it if it were free","free_only","I would only use it if it stayed free","free_only","None for now ","","","","","","","","","1.0","3.0","4.0","4.0"
"R065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R066","I am answering as a member of the general public","general_public","5.0","Too expensive","too_expensive","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","No difference","no_difference","No difference","no_difference","More accountability to real communities; More influence over future development; Better privacy and data stewardship","accountability, influence, privacy","","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Prefer to use it without governance involvement","prefer_to_use_only","Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners","strong_privacy, reliable_support, real_examples","Wait and see","wait_and_see","No","no","None ","No","no","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","3.0","2.0","2.0","2.0"
"R067","I am answering as a member of the general public","general_public","5.0","Too much dependence on large corporate platforms; Not well suited to our community or work","corporate_dependence, not_suited","","","5.0","","","","","","Not familiar","not_familiar","Somewhat important","somewhat_important","No difference","no_difference","No difference","no_difference","Better alignment with co-operative or community values","values_alignment","Data security","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Consultation as a user","consulted_as_user","Clear governance structure; Transparent finances; Reliable support and maintenance","clear_governance, transparent_finances, reliable_support","Join a pilot","join_pilot","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","1.0","2.0","2.0","2.0"
"R068","I am answering as a member of the general public","general_public","5.0","Too expensive; Hard to use; Poor accessibility","too_expensive, hard_to_use, poor_accessibility","3.0","3.0","","5.0","3.0","","2.0","3.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values","values_alignment","More usage ","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Occasional input on priorities","occasional_input","Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners","strong_privacy, reliable_support, real_examples","Contribute time or expertise; Give regular feedback; Wait and see","contribute_time, give_feedback, wait_and_see","No","no","None ","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","3.0","4.0","4.0"
